rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,holdings
2000-01-01,2000-04-01,0.0,0.042551,0,CASH (3 passed)
2000-04-01,2000-07-01,0.0,-0.023904,0,CASH (3 passed)
2000-07-01,2000-10-01,0.0,-0.020853,0,CASH (3 passed)
2000-10-01,2001-01-01,0.0,-0.101791,0,CASH (3 passed)
2001-01-01,2001-04-01,0.0,-0.111017,0,CASH (3 passed)
2001-04-01,2001-07-01,0.0,0.090001,0,CASH (3 passed)
2001-07-01,2001-10-01,0.0,-0.156858,0,CASH (3 passed)
2001-10-01,2002-01-01,0.0,0.111773,0,CASH (3 passed)
2002-01-01,2002-04-01,0.0,-0.005489,0,CASH (3 passed)
2002-04-01,2002-07-01,0.0,-0.150087,0,CASH (4 passed)
2002-07-01,2002-10-01,-0.058264,-0.112607,5,TATACOMM.NS,AKZOINDIA.NS,BASF.NS,MTNL.NS,ABB.NS
2002-10-01,2003-01-01,0.002284,0.067642,5,TATACOMM.NS,AKZOINDIA.NS,BASF.NS,MTNL.NS,ABB.NS
2003-01-01,2003-04-01,-0.075381,-0.051488,5,TATACOMM.NS,AKZOINDIA.NS,BASF.NS,MTNL.NS,ABB.NS
2003-04-01,2003-07-01,0.36114,0.149454,5,TATACOMM.NS,AKZOINDIA.NS,ABB.NS,BASF.NS,MTNL.NS
2003-07-01,2003-10-01,0.18901,0.040018,5,TATACOMM.NS,AKZOINDIA.NS,BASF.NS,ABB.NS,LT.NS
2003-10-01,2004-01-01,0.399148,0.094648,6,TATACOMM.NS,AKZOINDIA.NS,BASF.NS,ROLTA.NS,ABB.NS,LT.NS
2004-01-01,2004-04-01,-0.043177,0.026532,6,TATACOMM.NS,AKZOINDIA.NS,BASF.NS,ROLTA.NS,ABB.NS,LT.NS
2004-04-01,2004-07-01,-0.117757,-0.003674,5,TATACOMM.NS,AKZOINDIA.NS,BASF.NS,ROLTA.NS,LT.NS
2004-07-01,2004-10-01,0.290011,0.010403,27,ADANIENT.NS,SHRIRAMFIN.NS,SCI.NS,PFC.NS,HINDPETRO.NS,FEDERALBNK.NS,BAJAJ-AUTO.NS,ALEMBICLTD.NS,AKZOINDIA.NS,ANDHRAPAP.NS,IOC.NS,TNPL.NS,WELCORP.NS,ROLTA.NS,BBOX.NS,HINDOILEXP.NS,BPCL.NS,VOLTAS.NS,BASF.NS,CONCOR.NS,ZEEL.NS,BLUEDART.NS,APOLLOTYRE.NS,HINDALCO.NS,BEL.NS,ONGC.NS,HEROMOTOCO.NS,PGHH.NS,ITC.NS
2004-10-01,2005-01-01,0.21461,0.066727,27,ADANIENT.NS,SHRIRAMFIN.NS,SCI.NS,MASTEK.NS,PFC.NS,HINDPETRO.NS,FEDERALBNK.NS,BAJAJ-AUTO.NS,ROLTA.NS,ALEMBICLTD.NS,AKZOINDIA.NS,ANDHRAPAP.NS,IOC.NS,TNPL.NS,WELCORP.NS,BBOX.NS,HINDOILEXP.NS,BPCL.NS,VOLTAS.NS,BASF.NS,HCLTECH.NS,HCL-INSYS.NS,CONCOR.NS,ZEEL.NS,CANDC.NS,BLUEDART.NS,APOLLOTYRE.NS,HINDALCO.NS,BEL.NS,ONGC.NS
2005-01-01,2005-04-01,0.008957,-0.020037,27,ADANIENT.NS,SHRIRAMFIN.NS,SCI.NS,MASTEK.NS,PFC.NS,HINDPETRO.NS,FEDERALBNK.NS,BAJAJ-AUTO.NS,ROLTA.NS,ALEMBICLTD.NS,AKZOINDIA.NS,ANDHRAPAP.NS,IOC.NS,TNPL.NS,WELCORP.NS,BBOX.NS,HINDOILEXP.NS,BPCL.NS,VOLTAS.NS,BASF.NS,HCLTECH.NS,HCL-INSYS.NS,CONCOR.NS,ZEEL.NS,CANDC.NS,BLUEDART.NS,APOLLOTYRE.NS,HINDALCO.NS,SIEMENS.NS,BEL.NS
2005-04-01,2005-07-01,0.098109,0.021942,27,ADANIENT.NS,SHRIRAMFIN.NS,SCI.NS,MASTEK.NS,TIMKEN.NS,PFC.NS,HINDPETRO.NS,FEDERALBNK.NS,BAJAJ-AUTO.NS,ROLTA.NS,SEAMECLTD.NS,ALEMBICLTD.NS,AKZOINDIA.NS,ANDHRAPAP.NS,IOC.NS,TNPL.NS,WELCORP.NS,BBOX.NS,HINDOILEXP.NS,BPCL.NS,VOLTAS.NS,BASF.NS,HCLTECH.NS,HCL-INSYS.NS,CONCOR.NS,EPL.NS,ESABINDIA.NS,ZEEL.NS,CANDC.NS,BLUEDART.NS
2005-07-01,2005-10-01,0.299889,0.030133,25,NOCIL.NS,GESHIP.NS,CGPOWER.NS,SINTEX.NS,SCI.NS,KIRLOSIND.NS,NXTDIGITAL.NS,SAIL.NS,POLYPLEX.NS,TATACHEM.NS,GNFC.NS,CUB.NS,MASTEK.NS,ADOR.NS,HINDPETRO.NS,NAVA.NS,TIMKEN.NS,PASUPTAC.NS,INFOMEDIA.NS,ANDHRAPAP.NS,RELIANCE.NS,SHRIRAMFIN.NS,BEML.NS,VEDL.NS,EIDPARRY.NS,TATAINVEST.NS,ROLTA.NS,SEAMECLTD.NS,ALEMBICLTD.NS,GUJALKALI.NS
2005-10-01,2006-01-01,0.035759,0.038844,24,NOCIL.NS,GESHIP.NS,CGPOWER.NS,SINTEX.NS,BALLARPUR.NS,SCI.NS,KIRLOSIND.NS,NXTDIGITAL.NS,MASTEK.NS,SAIL.NS,POLYPLEX.NS,TATACHEM.NS,GNFC.NS,CUB.NS,ADOR.NS,HINDPETRO.NS,NAVA.NS,TIMKEN.NS,PASUPTAC.NS,INFOMEDIA.NS,ANDHRAPAP.NS,RELIANCE.NS,SHRIRAMFIN.NS,BEML.NS,VEDL.NS,EIDPARRY.NS,TATAINVEST.NS,SEAMECLTD.NS,ALEMBICLTD.NS,GUJALKALI.NS
2006-01-01,2006-04-01,0.226931,0.028044,24,NOCIL.NS,GESHIP.NS,CGPOWER.NS,SINTEX.NS,BALLARPUR.NS,SCI.NS,KIRLOSIND.NS,NXTDIGITAL.NS,MASTEK.NS,SAIL.NS,POLYPLEX.NS,TATACHEM.NS,GNFC.NS,CUB.NS,ADOR.NS,HINDPETRO.NS,NAVA.NS,TIMKEN.NS,PASUPTAC.NS,INFOMEDIA.NS,ANDHRAPAP.NS,RELIANCE.NS,SHRIRAMFIN.NS,BEML.NS,VEDL.NS,EIDPARRY.NS,TATAINVEST.NS,SEAMECLTD.NS,ALEMBICLTD.NS,GUJALKALI.NS
2006-04-01,2006-07-01,-0.139532,-0.010534,24,NOCIL.NS,GESHIP.NS,CGPOWER.NS,SINTEX.NS,BALLARPUR.NS,SCI.NS,KIRLOSIND.NS,NXTDIGITAL.NS,MASTEK.NS,SAIL.NS,POLYPLEX.NS,TATACHEM.NS,GNFC.NS,CUB.NS,ADOR.NS,HINDPETRO.NS,NAVA.NS,TIMKEN.NS,PASUPTAC.NS,INFOMEDIA.NS,ANDHRAPAP.NS,RELIANCE.NS,SHRIRAMFIN.NS,BEML.NS,VEDL.NS,EIDPARRY.NS,TATAINVEST.NS,ALEMBICLTD.NS,GUJALKALI.NS,BAJAJ-AUTO.NS
2006-07-01,2006-10-01,0.402306,0.045837,24,GFLLIMITED.NS,CGPOWER.NS,KOTHARIPRO.NS,KIRLOSIND.NS,BALLARPUR.NS,IITL.NS,NAGREEKEXP.NS,PRAKASH.NS,MASTEK.NS,GESHIP.NS,KSL.NS,AARVEEDEN.NS,VGL.NS,SCI.NS,EICHERMOT.NS,GSFC.NS,FACT.NS,HARRMALAYA.NS,GAEL.NS,POLYPLEX.NS,CUB.NS,TIMKEN.NS,JSWSTEEL.NS,GUJALKALI.NS,TATACHEM.NS,GNFC.NS,ALEMBICLTD.NS,NOCIL.NS,RANEHOLDIN.NS,FEDERALBNK.NS
2006-10-01,2007-01-01,0.087806,0.06826,24,GFLLIMITED.NS,CGPOWER.NS,BALLARPUR.NS,KOTHARIPRO.NS,KIRLOSIND.NS,IITL.NS,NAGREEKEXP.NS,PRAKASH.NS,GESHIP.NS,KSL.NS,VGL.NS,AARVEEDEN.NS,SCI.NS,EICHERMOT.NS,GSFC.NS,FACT.NS,HARRMALAYA.NS,GAEL.NS,MASTEK.NS,POLYPLEX.NS,CUB.NS,TIMKEN.NS,JSWSTEEL.NS,GUJALKALI.NS,TATACHEM.NS,GNFC.NS,ALEMBICLTD.NS,NOCIL.NS,RANEHOLDIN.NS,FEDERALBNK.NS
2007-01-01,2007-04-01,0.018146,0.00953,25,GFLLIMITED.NS,CGPOWER.NS,BALLARPUR.NS,KOTHARIPRO.NS,KIRLOSIND.NS,IITL.NS,NAGREEKEXP.NS,PRAKASH.NS,GESHIP.NS,KSL.NS,VGL.NS,AARVEEDEN.NS,SCI.NS,EICHERMOT.NS,GSFC.NS,TRIVENI.NS,FACT.NS,DHAMPURSUG.NS,HARRMALAYA.NS,GAEL.NS,MASTEK.NS,POLYPLEX.NS,CUB.NS,TIMKEN.NS,JSWSTEEL.NS,GUJALKALI.NS,TATACHEM.NS,GNFC.NS,ALEMBICLTD.NS,NOCIL.NS
