rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,top_holdings
2000-01-01,2000-07-01,0.0,0.01763,0,CASH (0 passed)
2000-07-01,2001-01-01,0.0,-0.120522,0,CASH (0 passed)
2001-01-01,2001-07-01,0.0,-0.031007,0,CASH (0 passed)
2001-07-01,2002-01-01,0.0,-0.062618,0,CASH (0 passed)
2002-01-01,2002-07-01,0.0,-0.154752,0,CASH (0 passed)
2002-07-01,2003-01-01,0.0,-0.052582,0,CASH (0 passed)
2003-01-01,2003-07-01,0.0,0.090271,0,CASH (0 passed)
2003-07-01,2004-01-01,0.0,0.138454,0,CASH (0 passed)
2004-01-01,2004-07-01,0.0,0.022761,0,CASH (0 passed)
2004-07-01,2005-01-01,0.0,0.077825,0,CASH (1 passed)
2005-01-01,2005-07-01,0.0,0.001466,0,CASH (1 passed)
2005-07-01,2006-01-01,0.0,0.070148,0,CASH (0 passed)
2006-01-01,2006-07-01,0.0,0.017214,0,CASH (0 passed)
2006-07-01,2007-01-01,0.0,0.117225,0,CASH (0 passed)
2007-01-01,2007-07-01,0.0,0.082556,0,CASH (0 passed)
2007-07-01,2008-01-01,0.0,-0.035582,0,CASH (0 passed)
2008-01-01,2008-07-01,0.0,-0.105304,0,CASH (0 passed)
2008-07-01,2009-01-01,0.0,-0.265786,0,CASH (2 passed)
2009-01-01,2009-07-01,0.0,0.005997,0,CASH (2 passed)
2009-07-01,2010-01-01,0.0,0.239895,0,CASH (5 passed)
2010-01-01,2010-07-01,0.0,-0.085249,0,CASH (5 passed)
2010-07-01,2011-01-01,0.219607,0.249583,19,078520.KS,069620.KS,114090.KS,115390.KS,006280.KS,090435.KS,090430.KS,002960.KS,065680.KS,036570.KS
2011-01-01,2011-07-01,-0.00424,0.063911,19,078520.KS,069620.KS,114090.KS,115390.KS,006280.KS,090430.KS,090435.KS,002960.KS,065680.KS,036570.KS
2011-07-01,2012-01-01,0.113844,-0.03693,15,111770.KS,090435.KS,090430.KS,009240.KS,114090.KS,064290.KS,009970.KS,004490.KS,063160.KS,005930.KS
2012-01-01,2012-07-01,0.025513,0.080897,16,111770.KS,097870.KS,090430.KS,090435.KS,009240.KS,114090.KS,064290.KS,009970.KS,004490.KS,063160.KS
2012-07-01,2013-01-01,-0.011918,0.083272,10,001430.KS,097870.KS,073490.KS,010130.KS,009970.KS,111770.KS,018880.KS,064290.KS,131390.KS,096240.KS
2013-01-01,2013-07-01,0.0,0.115605,0,CASH (9 passed)
2013-07-01,2014-01-01,0.0,0.145321,0,CASH (8 passed)
2014-01-01,2014-07-01,0.0,0.087064,0,CASH (8 passed)
2014-07-01,2015-01-01,-0.083066,0.05325,9,000660.KS,005935.KS,005930.KS,134380.KS,084870.KS,120030.KS,033240.KS,053210.KS,033920.KS,013030.KS
2015-01-01,2015-07-01,0.134897,0.019522,9,000660.KS,005930.KS,005935.KS,134380.KS,084870.KS,120030.KS,033240.KS,053210.KS,033920.KS,013030.KS
2015-07-01,2016-01-01,0.0,-0.020352,0,CASH (8 passed)
2016-01-01,2016-07-01,0.0,0.055068,0,CASH (8 passed)
2016-07-01,2017-01-01,0.0,0.084808,0,CASH (5 passed)
2017-01-01,2017-07-01,0.0,0.085285,0,CASH (5 passed)
2017-07-01,2018-01-01,0.270377,0.120842,10,161000.KS,092730.KS,012510.KS,035150.KS,123690.KS,114090.KS,003350.KS,064760.KS,005870.KS,005500.KS
2018-01-01,2018-07-01,-0.013654,0.020092,10,161000.KS,092730.KS,012510.KS,035150.KS,123690.KS,114090.KS,003350.KS,064760.KS,005870.KS,005500.KS
2018-07-01,2019-01-01,-0.147019,-0.070172,9,000660.KS,317400.KS,064760.KS,069260.KS,036570.KS,272450.KS,293480.KS,005935.KS,005930.KS,005500.KS
2019-01-01,2019-07-01,0.13242,0.192768,10,000660.KS,317400.KS,064760.KS,069260.KS,036570.KS,272450.KS,293480.KS,005935.KS,005930.KS,005500.KS
2019-07-01,2020-01-01,0.0,0.109303,0,CASH (6 passed)
2020-01-01,2020-07-01,0.0,-0.034329,0,CASH (6 passed)
2020-07-01,2021-01-01,0.0,0.197482,0,CASH (7 passed)
2021-01-01,2021-07-01,0.0,0.17482,0,CASH (7 passed)
2021-07-01,2022-01-01,0.101424,0.117299,12,064550.KS,192080.KS,244920.KS,014680.KS,000990.KS,000995.KS,002840.KS,131390.KS,017960.KS,064760.KS
2022-01-01,2022-07-01,-0.199268,-0.196002,12,064550.KS,192080.KS,244920.KS,014680.KS,000990.KS,000995.KS,002840.KS,131390.KS,017960.KS,064760.KS
2022-07-01,2023-01-01,0.0,0.007602,0,CASH (8 passed)
2023-01-01,2023-07-01,0.0,0.174152,0,CASH (8 passed)
2023-07-01,2024-01-01,0.0,0.073117,0,CASH (6 passed)
2024-01-01,2024-07-01,0.0,0.161108,0,CASH (6 passed)
2024-07-01,2025-01-01,0.0,0.078974,0,CASH (5 passed)
