rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,holdings
2000-01-01,2000-04-01,0.04192,0.042551,24,TY,BCE,DO,DD,BBWI,DAL,BNS,PHG,ADX,KODK,RRD,KMPR,KMPB,X,MO,CP,PRSU,RDN,HPQ,ROK,NGG,LEN,PKX,ALK,GHC,DNP,RIG,TGNA,ORI,PNR
2000-04-01,2000-07-01,0.030919,-0.023904,26,FMX,MO,DAL,BX,BNS,ADX,CX,VYX,TY,BCE,EOG,DD,KODK,NCR,JEF,MGA,EG,RE,LPX,DOV,ALL,ATI,NOC,HPQ,SOJE,SO,ORI,ROK,NGG,DLX
2000-07-01,2000-10-01,0.096941,-0.020853,26,FMX,MO,DAL,BX,BNS,ADX,CX,VYX,TY,BCE,EOG,DD,KODK,NCR,JEF,MGA,EG,RE,LPX,DOV,ALL,ATI,NOC,HPQ,SO,SOJE,ORI,ROK,MCK,DLX
2000-10-01,2001-01-01,0.107046,-0.101791,27,FMX,MO,BX,BNS,ADX,CX,VYX,TY,BCE,EOG,DD,KODK,NCR,JEF,SSL,MGA,EG,RE,LPX,DOV,ALL,ATI,NOC,HPQ,SO,SOJE,ORI,ROK,MCK,DLX
2001-01-01,2001-04-01,0.000183,-0.111017,25,IHG,FMX,MO,CBT,BX,ADX,CX,VYX,BNS,TY,BCE,ROK,EOG,DD,KODK,NCR,JEF,SSL,MGA,EG,RE,LPX,DOV,ALL,ATI,NOC,HI,SOJE,SO,ORI
2001-04-01,2001-07-01,0.077103,0.090001,26,FMX,IHG,SID,TDS,CBT,BX,BNS,VSH,ROK,PKX,DNP,KODK,BN,CBD,DD,WTM,RRD,MGA,PHG,PBR,L,TK,PBR-A,VLO,CNA,CP,HES,EPD,SSL,NVR
2001-07-01,2001-10-01,-0.14935,-0.156858,26,FMX,IHG,SID,TDS,CBT,BX,BNS,VSH,ROK,PKX,DNP,KODK,BN,CBD,DD,WTM,RRD,MGA,PHG,PBR,L,TK,PBR-A,VLO,CNA,CP,HES,EPD,SSL,NVR
2001-10-01,2002-01-01,0.199632,0.111773,26,FMX,IHG,SID,TDS,CBT,BX,BNS,VSH,ROK,PKX,DNP,KODK,BN,CBD,DD,WTM,RRD,MGA,PHG,PBR,L,TK,PBR-A,VLO,CNA,SSL,CP,HES,EPD,NVR
2002-01-01,2002-04-01,0.11491,-0.005489,25,FMX,SID,TDS,ASH,BX,VSH,BNS,PKX,DNP,KODK,BN,CBD,DD,WTM,RRD,MGA,PHG,PBR,L,TK,PBR-A,ACN,VLO,CNA,SSL,CP,HES,IHG,HI,EPD
2002-04-01,2002-07-01,0.040215,-0.150087,24,FMX,ASH,BX,BNS,VLO,TK,CX,OVV,VYX,LEN,ACN,SSL,IHG,HI,NVR,PBR-A,HAL,KMPB,KMPR,E,MDC,PHM,EQNR,Y,MGA,EQT,ROK,TS,VALE,COP
2002-07-01,2002-10-01,-0.157502,-0.112607,24,FMX,ASH,BX,BNS,VLO,TK,CX,OVV,VYX,LEN,ACN,SSL,IHG,HI,NVR,PBR-A,HAL,KMPB,KMPR,E,MDC,PHM,EQNR,Y,MGA,EQT,ROK,TS,VALE,COP
2002-10-01,2003-01-01,0.152478,0.067642,23,FMX,ASH,BX,BNS,VLO,TK,CX,OVV,VYX,LEN,ACN,HBI,IHG,HI,NVR,PBR-A,HAL,KMPR,KMPB,E,SSL,MDC,PHM,EQNR,Y,MGA,EQT,ROK,TS,VALE
2003-01-01,2003-04-01,-0.039487,-0.051488,25,FMX,BX,VLO,TK,CX,OVV,VYX,LEN,HBI,TOL,NVR,PBR-A,HAL,KMPR,KMPB,E,SSL,MDC,PHM,EQNR,Y,MGA,EQT,TS,VALE,COP,OXY,NCR,FNF,RTX
2003-04-01,2003-07-01,0.23947,0.149454,26,WTM,FMX,BMA,ITT,CYD,TLK,FNF,FDP,HBI,M,LEN,PHM,TOL,UGP,MTG,MDC,NLY,SSL,NVR,EQNR,RNR,CVG,WRB,KODK,RTX,SKM,MGA,MRO,RDN,EQT
2003-07-01,2003-10-01,0.148875,0.040018,26,WTM,FMX,BMA,ITT,CYD,TLK,FNF,FDP,HBI,M,LEN,PHM,TOL,UGP,MTG,MDC,NLY,SSL,NVR,EQNR,RNR,CVG,WRB,KODK,RTX,SKM,MGA,MRO,RDN,EQT
2003-10-01,2004-01-01,0.133672,0.094648,26,WTM,FMX,BMA,ITT,CYD,TLK,HBI,FNF,FDP,M,LEN,PHM,TOL,UGP,MTG,MDC,SSL,NLY,NVR,EQNR,RNR,CVG,WRB,KODK,RTX,SKM,MGA,MRO,RDN,EQT
2004-01-01,2004-04-01,0.074736,0.026532,25,WTM,FMX,GIM,BMA,ITT,CYD,TLK,HBI,FNF,FDP,HI,M,BZH,LEN,PHM,UGP,MTG,MDC,SSL,NLY,NVR,EQNR,RNR,CVG,WRB,KODK,RTX,SKM,MGA,MRO
2004-04-01,2004-07-01,0.016589,-0.003674,21,AFGB,AFGC,AFGD,AFGE,CNO,TY,GIM,MO,FNF,ITT,ADX,CUZ,SKM,OVV,HBI,MRO,RNR,SBS,AET,MDU,WRB,CVG,FDP,HI,AGO,PKX,BZH,AFG,RRD,PX
2004-07-01,2004-10-01,0.015932,0.010403,22,AFGB,AFGC,AFGD,AFGE,CNO,TY,GIM,MO,FNF,ITT,ADX,CUZ,SKM,OVV,HBI,MRO,RNR,SBS,AET,MDU,WRB,CVG,FDP,HI,AGO,PKX,BZH,AFG,RRD,PX
2004-10-01,2005-01-01,0.150295,0.066727,22,AFGB,AFGC,AFGD,AFGE,CNO,TY,GIM,MO,FNF,ITT,ADX,CUZ,SKM,OVV,HBI,MRO,RNR,SBS,AET,MDU,WRB,CVG,FDP,HI,AGO,PKX,BZH,AFG,RRD,PX
2005-01-01,2005-04-01,0.070451,-0.020037,23,AFGB,AFGC,AFGD,AFGE,CNO,TY,MO,FNF,ITT,GIM,ASH,ADX,CUZ,SKM,OVV,HBI,MRO,RNR,SBS,AET,MDU,WRB,CVG,FDP,BZH,AGO,PKX,AFG,RRD,PX
2005-04-01,2005-07-01,-0.005016,0.021942,22,AFGE,AFGB,AFGD,AFGC,MT,CIB,RVT,CUZ,TY,UZA,PBR-A,MO,GIM,CLF,ITT,FNF,GGB,PKX,OVV,ASH,AET,HBI,NL,X,COP,MDU,VLO,SFG,TX,WRB
2005-07-01,2005-10-01,0.211447,0.030133,22,AFGE,AFGB,AFGD,AFGC,MT,CIB,RVT,CUZ,TY,UZA,PBR-A,MO,GIM,CLF,ITT,FNF,GGB,PKX,OVV,ASH,AET,HBI,NL,X,DXC,COP,MDU,VLO,SFG,TX
2005-10-01,2006-01-01,0.020865,0.038844,22,AFGE,AFGB,AFGD,AFGC,MT,CIB,RVT,CUZ,TY,UZA,PBR-A,MO,GIM,CLF,ITT,FNF,GGB,PKX,OVV,ASH,AET,HBI,NL,X,DXC,COP,MDU,VLO,SFG,TX
2006-01-01,2006-04-01,0.134092,0.028044,24,AFGE,AFGB,AFGD,AFGC,ASH,MT,CIB,RVT,CUZ,TY,UZA,PBR-A,MO,CLF,ITT,FNF,GGB,PKX,OVV,AET,HBI,GIM,NL,X,DXC,COP,MDU,VLO,SFG,HOV
2006-04-01,2006-07-01,-0.029999,-0.010534,23,ASH,FMX,DD,DO,UZA,FNF,JEF,PBR-A,EAI,VYX,IFN,RVT,HGH,PKX,SKM,MRO,HBI,COP,LDOS,PDS,MO,GIM,ITT,SBS,DXC,MDU,BMA,GGB,EMP,CAA
2006-07-01,2006-10-01,-0.007386,0.045837,23,ASH,FMX,DD,DO,UZA,FNF,JEF,PBR-A,EAI,VYX,IFN,RVT,HGH,PKX,SKM,MRO,HBI,COP,LDOS,PDS,MO,GIM,ITT,SBS,MDU,BMA,GGB,EMP,CAA,IHG
2006-10-01,2007-01-01,0.14718,0.06826,23,ASH,FMX,DD,DO,UZA,FNF,JEF,PBR-A,EAI,VYX,IFN,RVT,HGH,PKX,SKM,MRO,COP,LDOS,PDS,MO,GIM,ITT,SBS,MDU,BMA,GGB,EMP,CAA,IHG,ENJ
2007-01-01,2007-04-01,0.028224,0.00953,24,FMX,DD,DO,UZA,FNF,JEF,A,PBR-A,EAI,VYX,IFN,RVT,HGH,PKX,SKM,MRO,COP,LDOS,PDS,MO,ITT,SBS,MDU,BMA,ASH,GGB,EMP,CAA,IHG,ENO
2007-04-01,2007-07-01,0.10658,0.072337,18,AWI,UZA,DD,FMX,ELPC,RVT,BX,EAI,BCO,A,HGH,IFN,ITT,MO,OVV,MRO,HBM,EMP,CAM,NE,DNP,ENO,ENJ,APO,ENH,BMA,WFG,RZA,AXS,VLO
2007-07-01,2007-10-01,-0.010907,0.021405,19,AWI,UZA,DD,FMX,ELPC,RVT,BX,EAI,BCO,A,HGH,IFN,ITT,MO,OVV,MRO,HBM,EMP,CAM,NE,DNP,ENO,ENJ,APO,ENH,BMA,WFG,RZA,AXS,VLO
