rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,holdings
2000-01-01,2000-04-01,0.048168,0.042551,22,AAL,TY,BCE,DO,DD,BBWI,DAL,BNS,PHG,ADX,KODK,RRD,KMPB,KMPR,X,MO,CP,NOK,PRSU,RDN,HPQ,ROK,NGG,LEN,PKX,ALK,GHC,DNP,RIG,VC
2000-04-01,2000-07-01,0.029781,-0.023904,25,AAL,FMX,MO,DAL,BX,BNS,ADX,CX,VYX,TY,BCE,EOG,DD,KODK,NCR,JEF,MGA,EG,RE,LPX,DOV,ALL,ATI,NOC,HPQ,ROST,SO,SOJE,ORI,ROK
2000-07-01,2000-10-01,0.079849,-0.020853,25,AAL,FMX,MO,DAL,BX,BNS,ADX,CX,VYX,TY,BCE,EOG,DD,KODK,NCR,JEF,MGA,EG,RE,LPX,DOV,ALL,ATI,NOC,HPQ,ROST,SO,SOJE,ORI,ROK
2000-10-01,2001-01-01,0.103895,-0.101791,26,AAL,FMX,MO,BX,BNS,ADX,CX,VYX,TY,BCE,EOG,DD,KODK,NCR,JEF,SSL,MGA,EG,RE,LPX,DOV,ALL,ATI,NOC,HPQ,ROST,SO,SOJE,ORI,ROK
2001-01-01,2001-04-01,0.006139,-0.111017,25,AAL,IHG,FMX,MO,CBT,BX,ADX,CX,VYX,BNS,TY,BCE,ROK,EOG,DD,KODK,NCR,JEF,SSL,MGA,EG,RE,LPX,DOV,ALL,ATI,NOC,HI,ROST,SO
2001-04-01,2001-07-01,0.083109,0.090001,25,FMX,AAL,IHG,SID,TDS,CBT,BX,BNS,VSH,ROK,PKX,DNP,KODK,BN,CBD,DD,AMD,WTM,RRD,MGA,PHG,PBR,L,TK,PBR-A,VLO,CNA,CP,HES,EPD
2001-07-01,2001-10-01,-0.177931,-0.156858,25,FMX,AAL,IHG,SID,TDS,CBT,BX,BNS,VSH,ROK,PKX,DNP,KODK,BN,CBD,DD,AMD,WTM,RRD,MGA,PHG,PBR,L,TK,PBR-A,VLO,CNA,CP,HES,EPD
2001-10-01,2002-01-01,0.233463,0.111773,25,FMX,AAL,IHG,SID,TDS,CBT,BX,BNS,VSH,ROK,PKX,DNP,KODK,BN,CBD,DD,AMD,WTM,RRD,MGA,PHG,PBR,L,TK,PBR-A,VLO,CNA,SSL,CP,HES
2002-01-01,2002-04-01,0.107166,-0.005489,26,FMX,AAL,SID,TDS,ASH,BX,VSH,BNS,PKX,DNP,KODK,BN,LEE,CBD,DD,AMD,WTM,RRD,MGA,PHG,PBR,L,TK,PBR-A,ACN,VLO,CNA,SSL,CP,HES
2002-04-01,2002-07-01,0.013545,-0.150087,24,FMX,ASH,BX,BNS,VLO,TK,LEE,CX,OVV,VYX,LEN,ACN,SSL,IHG,HI,NVR,PBR-A,HAL,KMPR,KMPB,E,MDC,PHM,EQNR,CRUS,Y,MGA,EQT,ROK,TS
2002-07-01,2002-10-01,-0.151297,-0.112607,24,FMX,ASH,BX,BNS,VLO,TK,LEE,CX,OVV,VYX,LEN,ACN,SSL,IHG,HI,NVR,PBR-A,HAL,KMPB,KMPR,E,MDC,PHM,EQNR,Y,MGA,EQT,ROK,TS,VALE
2002-10-01,2003-01-01,0.142538,0.067642,23,FMX,ASH,BX,BNS,VLO,TK,LEE,CX,OVV,VYX,LEN,ACN,HBI,IHG,HI,NVR,PBR-A,HAL,KMPB,KMPR,E,SSL,MDC,PHM,EQNR,Y,MGA,EQT,ROK,TS
2003-01-01,2003-04-01,-0.039487,-0.051488,25,FMX,BX,VLO,TK,CX,OVV,VYX,LEN,HBI,TOL,NVR,PBR-A,HAL,KMPR,KMPB,E,SSL,MDC,PHM,EQNR,Y,MGA,EQT,TS,VALE,COP,OXY,NCR,FNF,RTX
2003-04-01,2003-07-01,0.257294,0.149454,26,MTCH,WTM,FMX,BMA,ITT,CYD,TLK,FNF,FDP,HBI,M,LEN,PHM,TOL,UGP,MTG,MDC,NLY,SSL,NVR,EQNR,RNR,CVG,WRB,KODK,RTX,SKM,MGA,MRO,RDN
2003-07-01,2003-10-01,0.142388,0.040018,26,MTCH,WTM,FMX,BMA,ITT,CYD,TLK,FNF,FDP,HBI,M,LEN,PHM,TOL,UGP,MTG,MDC,NLY,SSL,NVR,EQNR,RNR,CVG,WRB,KODK,RTX,SKM,MGA,MRO,RDN
2003-10-01,2004-01-01,0.130956,0.094648,26,MTCH,WTM,FMX,BMA,ITT,CYD,TLK,HBI,FNF,FDP,M,LEN,PHM,TOL,UGP,MTG,MDC,SSL,NLY,NVR,EQNR,RNR,CVG,WRB,KODK,RTX,SKM,MGA,MRO,RDN
2004-01-01,2004-04-01,0.074911,0.026532,25,MTCH,WTM,FMX,GIM,BMA,ITT,CYD,TLK,HBI,FNF,FDP,HI,M,BZH,LEN,PHM,UGP,MTG,MDC,SSL,NLY,NVR,EQNR,RNR,CVG,WRB,KODK,RTX,SKM,MGA
2004-04-01,2004-07-01,0.0134,-0.003674,22,AFGB,AFGC,AFGD,AFGE,CNO,TY,GIM,MO,FNF,ITT,ACGL,ADX,CUZ,SKM,OVV,HBI,MRO,RNR,SBS,AET,MDU,WRB,CVG,FDP,HI,AGO,PKX,BZH,AFG,RRD
2004-07-01,2004-10-01,0.013507,0.010403,23,AFGB,AFGC,AFGD,AFGE,CNO,TY,GIM,MO,FNF,ITT,ACGL,ADX,CUZ,SKM,OVV,HBI,MRO,RNR,SBS,AET,MDU,WRB,CVG,FDP,HI,AGO,PKX,BZH,AFG,RRD
2004-10-01,2005-01-01,0.143246,0.066727,23,AFGB,AFGC,AFGD,AFGE,CNO,TY,GIM,MO,FNF,ITT,ACGL,ADX,CUZ,SKM,OVV,HBI,MRO,RNR,SBS,AET,MDU,WRB,CVG,FDP,HI,AGO,PKX,BZH,AFG,RRD
2005-01-01,2005-04-01,0.074671,-0.020037,24,AFGB,AFGC,AFGD,AFGE,CNO,TY,MO,FNF,ITT,GIM,ACGL,ASH,ADX,CUZ,SKM,OVV,HBI,MRO,RNR,SBS,AET,MDU,WRB,CVG,FDP,BZH,COO,AGO,PKX,AFG
2005-04-01,2005-07-01,-0.003705,0.021942,22,AFGE,AFGB,AFGD,AFGC,MT,CIB,RVT,CUZ,TY,UZA,PBR-A,MO,GIM,CLF,ITT,FNF,GGB,ACGL,HTZ,PKX,OVV,ASH,AET,HBI,NL,X,COP,MDU,VLO,SFG
